句子索引,行号,原始文本
388,827,"“以何
市而反” 即 “以 (责) 市何而反”，句中省略 “责”，宾语 “何” 提
前，“何市” 即 “市何”。"
389,827,从而使学生了解，“责” 的音、 义原与
390,840,"①
②
《古文学的教学任务到底是什么》，《人民教育》 1957 年第 6 期。"
391,844,"《高中中国文学专题教学的安排、 时数和教材的编选问题》，《 语文教学》 1957 年
第 5 期。"
392,847,“债” 同，“市” 的古今意义已异，“何市” 系动宾颠倒等。
393,847,"教师在没
有接触到这句话的内容之前，甚至在没有把这句话翻译成现代汉语之
前，就作了这样一些串讲，不可谓不费时费力; 但学生是否能够全部
理解，理解了在语言上又有多大用处，不也还是问题吗?"
394,851,"(二) 文言文对学生写作帮助不大
关于文言文与写作的关系问题，我的意思是文言文对写作的帮助
不大，但也不一定有消极作用。"
395,856,"持学习文言文一定会妨碍写作的意见的人，主要论据是学生学了
文言文会形成 “半文半白” 的语言混杂现象。"
396,856,这现象是存在的。
397,856,"但据
我了解，这现象大抵只出现在翻译和改写等少数作业形式中，而且也
只限于少数学生，并非普遍现象。"
398,856,"因此，以此来证明学习文言文的坏
处，论据尚嫌不足。"
399,862,持学习文言文不会妨碍而且有助于写作的人，论据不止一个。
400,862,"有
人以 “五四” 时期的一些人为例，证明学习文言文对写作没有妨碍。"
401,864,也有人以鲁迅先生为例，证明学习古汉语的必要性。
402,864,"我以为这意见至
少有两点站不住脚，第一，有学过文言文后来写好白话文的人，但也
有学过文言文后来却始终写不好白话文的人。"
403,864,"第二，真正从文言文中
吸取了营养的人，那是由于人们阅读过数量相当多的文言文，并且下
过很大功夫的缘故。"
404,864,难道今天的中学生还有这种可能吗?
405,869,"有人从 “日常的口头语言是作文的基础”① 出发，认为文学作品
不会对写作产生消极的影响。"
406,869,"我看对于中学生来说，书面语言也是作
文的基础，书面语言在准确性、 清晰性、 系统性等方面可能给予写作
的帮助，不是口语所能代替得了的。"
407,869,"因此努力实现书面语言对学生作
文的基础作用，是中学文学教学的任务之一。"
408,869,"而选材时也就应该选取
在语言上能够起更大积极作用的作品，而不应该只满足于不起消极作"
409,876,① 《古典作品教学和作文教学的关系》。
410,876,《语文学习》 1956 年第 8 期。
411,878,用的作品。
412,880,"有人强调作文主要是思维的锻炼，说 “写作能力的高低与其说是
一个语言问题，不如说是一个认识和思维的问题”①，所以作品语言的
难易就不是个值得着重考虑的问题了。"
413,880,"这恐怕有些降低了语言的作
用，容易使人误解为思维的锻炼可以代替语言的锻炼。"
414,885,"有人说，学习古典文学，在语言上应该学习它的炼句、 剪裁、 布
局以及描写方法等。"
415,885,毫无疑问，这些方面是能够学习也应该学习的。
416,887,"但是，第一，像剪裁、 布局、 描写方法等已经超出了一般所理解的语
言范围，因而不能全看成是语言的学习。"
417,887,"第二，文言文在语言的基本
构成因素词汇和句法方面，虽然是丰富多样的，但是对学生用现代汉
语写作的帮助是有很大局限性的。"
418,892,文言文不仅使阅读和写作脱了节，尤其是和说话训练脱了节。
419,892,"严
格说来，高中学生也是需要说话训练的。"
420,892,"有人说，在文言文的课堂上
也可以进行口语的训练，比如让学生口头回答问题。"
421,892,"这自然是一种口
语训练，但这是不够的，因为口语的训练并不仅仅意味着给学生说话
的机会，同时还意味着使他们从课文中吸取语言的范例，并融会在自
己的口头语言中。"
422,892,可见，这是个不易克服的矛盾。
423,899,"(三) 高中文学课本应该选平易畅达的文言作品，文字艰深的教
学译文"
424,901,"为了使高中文学课本的中国文学部分，既保持一定的文学史系
统，又能充分进行语言教学，我以为编选古典文学作品，应该第一，
只选平易畅达的文言作品。"
425,901,"第二，对于语言艰深而又应选作教材的作
品，要译成现代汉语，不要选原文。"
426,901,对这，有人赞成也有人反对。
427,901,"反
对选译文的理由主要是 “译文质量即使很高也不容易保持原作的风"
428,907,① 《作品的典范性是编辑文学课本的主要原则)，《人民教育》 1959 年第 9 期。
429,909,"格”①，我以为如果能够学习原文，那固然再好不过，但如果学原文太
困难，即使原文再好，体会不到奈何! 也有人说 “读译文终是隔着一
层”②，但是如就学生目前读原文的情况看，隔着的恐怕还不止一层
罢。"
430,909,所以我以为选些译文仍是一个较好的办法。
431,914,"三
再谈谈我对作品体裁的意见。"
432,916,"(四) 高中系统地讲授中国文学史基本知识的要求高了些
从已经出版的高中文学课本中所选入的作品看，散文的数量相当
少。"
433,916,"散文为什么少? 自然是和大纲 (草案) 中所确定的中国文学的教
学任务分不开的。"
434,916,"因此，要解决应否增加散文数量的问题，首先必须
明确高中文学的教学任务。"
435,916,"大纲所确定的任务是指导 “学生依据文学
史的系统学习中国文学史上的重要作品”，并 “结合中国文学作品的
教学讲授系统的中国文学史基本知识”。"
436,916,"有人赞成这个要求，以为高
中毕业生不具备中国文学史知识，就不免有些 “孤陋寡闻”，显得知
识太少。"
437,916,"有人更进一步认为不系统地学习古典文学，“高中毕业的学
生在文学科方面就不能满足国家的需要”③。"
438,916,"这就是说，系统的中国文
学史知识，对于高中毕业生来说，应该是必须具备的学问。"
439,916,"我看这要
求不免高了一些。"
440,916,"我并不反对高中文学课本按文学史系统编排，当然
也就不反对给学生一定的文学史知识。"
441,916,"但如果像现在这个样子，把高
中的文学课弄得近似高等学校的中国文学课的缩影，在课堂上竟把作
品讲读课弄得像个文学史课，那就不仅无益于语言的培养，即使是文"
442,931,"①
②
③
《古典文学的教学任务到底是什么》，《人民教育》 1957 年第 6 期。"
443,936,《古典文学的教学任务到底是什么》，《人民教育》 1957 年第 6 期。
444,937,《中国文学科古典作品的教学》，《语文学习》 1956 年第 11 期。
445,938,学史知识也不能不是很肤浅的东西。
446,938,"结果两败俱伤，这似乎是不足取
法的。"
447,941,"假如这个意见不错的话，那么我以为就应该考虑把这个任务降到
次要地位，从而在选材上，根据适当保持文学史系统的原则，以是否
更有利于扩大学生的生活知识，进行思想教育，是否更有利于培养学
生的思维和语言的能力为主要任务进行编选。"
448,946,"(五) 选才应各体兼蓄，并应多选散文，不应拘泥于纯文学作品
从培养学生语言能力的角度出发，选材中的体裁原则应该是重要
原则。"
449,946,不同体裁的作品对语言能力的培养会产生不同的作用。
450,946,"有人特
别强调选材的典范性原则，认为体裁问题 “终究是个次要的问题”①，
这是欠妥的。"
451,946,"其所以欠妥，是因为强调了某一方面，并因此贬低了不
应贬低的另一方面，就会使文学的教学任务无法全面实现。"
452,946,"何况我国
的散文本来就源远流长并一直放射着光彩，因而重视体裁原则，多选
些散文也绝对不会降低作品的典范性。"
453,946,"来个二者兼顾，岂不是更好一
些吗?"
454,955,体裁的原则应该是既各体兼蓄，而又有主次之分。
455,955,"在主次方面，
我的意见是，散文为主，小说居次，诗、 戏剧等再次之。"
456,955,"那么，选些
什么样的散文呢? 范围似乎可以广一些，不应该拘泥于纯文学作品。"
457,959,有人认为 “写作的根本问题不在于语言，其实也不在于体裁。
458,959,"多
读些小说、 诗歌、 戏剧能帮助学生把记叙文、 论说文写得更生动、 更
具体，更有血有肉，形象的写法永远比空洞的说理更富有感染和说服
力量”②。"
459,959,"这种看法自然不能说全无道理，但是，第一，生活中从来就
不仅需要生动、 具体的文章，同时也需要朴实的文章和抽象的说理文
章。"
460,959,“形象的写法” 并非到处有用。
461,959,第二，即或 “形象的写法” 是人
462,965,"①
②
《作品的典范性是编辑文学课文的主要原则》，《人民教育》 1957 年第 9 期。"
463,969,《作品的典范性是编辑文学课文的主要原则》，《人民教育》 1957 年第 9 期。
464,970,"人必要的罢，但如果不多读些散文，从而具备一定的叙事和说理的能
力，又怎能谈得上掌握 “形象的写法”? 目前不正是有许多高中毕业
生连一般的叙事和说理的能力还未具备吗? 那种以为只要多读些小
说、 诗歌、 戏剧等作品，连记叙文、 论说文的写作也都能够得心应
手，而且还生动、 具体、 有血有肉，事情恐怕没有这么简单。"
465,970,"大概谁
都会承认，写小说、 诗歌同写信、 工作报告总不会是同一笔法，以为
诗歌、 小说等的语言、 结构尽可以帮助记叙文、 议论文的写作，而且
管保够用，就很难令人信服。"
466,979,"根据这样的看法，我以为高中文学课本中，诗词所占的比重过大
了，这是不利于语言教学的。"
467,979,"第一，诗词的特点是篇幅短小，语言简
赅，但是意境深远，常常只是几十个字，竟需要一两节课的时间才能
讲透。"
468,979,"从其语言的精练性来说，对学生语言的培养固有极大的好处，
但如果这样的课文很多 (高中文学课本第一、 二册中就有很多这样的
课文)，每节课只能接触那么几十个字，阅读数量就未免过少。"
469,979,"而学
生运用语言能力的提高，在很大程度上取决于阅读的数量，特别是词
汇蓄积的数量。"
470,979,"第二，我国古典诗词的语言，无论在词汇的选择、 音
韵的安排、 语句的结构等方面，都不同于其他体裁作品语言的形式。"
471,988,至于和日常口语的差异就更大了。
472,988,"因而它对学生的说话、 写作的帮助
就不那么直接。"
473,988,"第三，由于我国古典诗词多是作者自身的抒情咏怀之
作 (课本中选入的也多属这一类)，其中所表现的作者的主观世界有
时很不易掌握，特别是那些常常意在言外的作品更不易领会透彻。"
474,992,对于上面的看法，也许有人要说，你这是实用观点。
475,992,"可是，这有
什么不好呢? 难道我们的选材是为了装点门面吗? “学以致用” 的原
则总应该被重视。"
476,992,"自然，那种急于求成的狭隘的实用主义态度是不足
取的，比如要把建议书或工作报告之类的应用文选作教材，就属于这
一类。"
477,998,(原载 《人民教育》 1957 年第 9 期)
478,999,"语言教学任务是中学语文科教养任务中的一项基本
任务。"
479,999,"作为一项基本任务，语言教学应该贯穿课文教学
的全部过程中; 课文教学的全部过程同时也应该是语言
教学的过程。"
480,999,"只有这样，语文科的基本特征才能全面体
现，语文科的基本任务才能充分实现。"
481,999,"但在教学实践
中，语言教学往往未能体现在全部过程中，有的甚至仅
仅限于起始阶段的解释词语和结束阶段的语言总结，大
大缩小了语言教学的范围，语言教学的质量也就必然很
差。"
482,999,"自然，由于教学过程中的各个阶段的具体任务不
同，语言教学的地位和比重也并非一样，不能完全划
一，但是任何一个教学阶段都可以而且应该进行语言教
学，却是肯定的。"
483,1012,"本文想就课文教学的几个主要阶段，谈谈如何进行语言教学问
题。"
484,1012,"为了节省篇幅，对在语言教学中占有重要地位但已为许多文章论
述过的诸如朗读、 默读、 背诵，各种形式的书面作业等语言教学的方
法方式，一律从略。"
485,1012,"这里只想探讨一般尚未引起足够重视的，和虽已
重视却未解决的有关语言教学方面的几个问题。"
486,1018,"一
课文教学的起始阶段的语言教学，应该和能够体现在这一阶段的
各种教学内容中，但是，过去大都只限于词语的解释，未能充分看到
在介绍作家和作品时代背景等知识方面，可能和应该产生的语言教学
作用; 把有关作家等的介绍仅仅看作是一种知识教育，未同时也看作
是一种语言教学。"
487,1018,"因而在教学实践中，也就缺乏对介绍作家等知识的
语言要求，学生记忆有关作家等知识的不牢固现象，是和上述的认识
不明确有直接关系的。"
488,1027,"中
学
语
文
科
课
文
教
学
过
程
中
的
语
言
教
学"
489,1046,"应该看到，在有关作家等知识的介绍方面，也能够和应该进行语
言教学。"
490,1046,"由于这类知识都是为帮助学生理解课文而补充的课文以外的
新知识，语言教学也就不能不表现在教师选择、 讲述材料时所使用的
语言上，教师的语言也就不能不起着特殊作用。"
491,1046,"它的作用不仅决定学
生吸取新知识的质量，同时也影响着学生语言的培养。"
492,1046,"在这一阶段，
作为学生接受知识的依据的是教师的语言，作为学生学习语言的范例
的也是教师的语言。"
493,1046,"因此，在这一教学阶段，无论从保证知识质量的
任务出发，或从保证实现语言教学任务出发，都要求老师具有选择、
运用语言的本领。"
494,1046,教师的语言在内容上应有明确的思想目的性。
495,1046,"这就
是根据课文的需要和学生的水平适当地精选材料，并在语言上细致加
工，去掉与理解课文无关的材料，只讲那些必须讲的; 始终保证语言
的思想集中、 目的明确。"
496,1046,"当然，也必须给予学生为理解课文所必需的
知识，不应随意扩大或缩小知识范围。"
497,1046,"教师的语言在结构上应富有逻
辑性。"
498,1046,"也就是要求教师不仅善于选择材料，而且善于条理分明地组织
材料。"
499,1046,"保证达到这一要求的最好方法，就是拟定讲授纲要，并随讲随
写在黑板上，使学生听到一部分就清楚地了解、 掌握一部分，确切地
了解它们之间的联系和区别。"
500,1046,教师的语言还应该具有准确性。
501,1046,"教师的
语言应该是纯洁的文学语言不该有不正确的发音，不应使用意义不确
切的词，不应有不连贯和不完整的句子。"
502,1046,"它应该特别清楚、 简单、 明
白，速度从容不迫，音调高低适当，以保证学生的理解和记笔记。"
503,1067,"教师的语言能够符合上述要求，他就不仅向学生传授了知识，也
提供了良好的语言范例。"
504,1067,"在知识的介绍阶段，培养学生记笔记的能力
十分重要。"
505,1067,"记笔记是一种有价值的语言训练和思维训练方式，记笔记
的能力无论对学生的当前学习和未来的学习、 工作，都是一种迫切的
需要。"
506,1067,"目前，多数学生记笔记的能力很差，一些教师和学生对语言质
量的要求还不够严肃认真，教师应该经常检查和指导学生记笔记，对
不同的年级虽应提出不同要求，但都应该严格，不容许只作文认真，"
507,1074,记笔记不认真。
508,1074,"对笔记的检查和指导，可在课外进行，也可在课内进
行，比如在介绍过新知识之后，可让一两个学生朗读自己的笔记，由
教师和其他学生纠正和评价。"
509,1079,"二
课文的阅读分析阶段是语文课堂教学的中心阶段。"
510,1081,阅读是学生理解课文的基础，也是获得运用语言能力的基础。
511,1081,"学
生理解课文的广度和深度怎样，运用语言的能力能否提高，主要地取
决于这样两个相联系的阶段，就是课文的阅读阶段和分析阶段。"
512,1081,"对课
文的分析是不可缺少的，对课文的阅读也是不可缺少的。"
513,1081,"课文分析是
学生学习语文的基础，课文阅读又是分析的基本。"
514,1081,"没有学生自己对课
文的精心阅读，即使再好的课文，再好的分析，学生也不会得到更大
的益处。"
515,1081,"学生自己不劳动，只靠教师代他们劳动，怎么能够从课文中
获得语言的教养? 这个道理似乎再简单不过，因而无需多说。"
516,1081,"而且在
我们封建时代的语文教学中，在重视学生自己阅读这一点上，是值得
借鉴的。"
517,1081,"当然，那时的教师们不大懂得分析的必要性和重要性，除了
让学生死记硬背以外，甚至想不到还有其他学习文章的方法，这就限
制了学生的理解，是无足取的。"
518,1081,"但是他们懂得学生自己熟读文章的重
要性，能够要求学生熟读文章，使学的人经久不忘，并糅合在自己的
语言中。"
519,1081,"过去我们往往只注意对课文的分析，忽略了学生的独立阅
读，姑且不说分析本身是否全面深刻，单就忽视学生的独立阅读来
说，就是违反语文教学特征的一种表现，也违反培养学生独立思考的
一般教育原则。"
520,1081,"很明显，没有学生自己独立阅读的基础，很难体现语
文科的一般教养教育作用，更不要说语言能力的获得了。"
521,1100,"语文科的阅读不单单是哪一个教学阶段的任务，课内应该阅读、
课前应该阅读，课后还应该阅读。"
522,1103,"课前和课后阅读往往易被忽略，这是语言教学质量不高的主要原
因之一。"
523,1107,课前阅读十分重要。
524,1107,"只有在学生已经基本上熟悉了课文的内容和
语言，才可能在分析课文过程中了解内容和语言。"
525,1107,"因此，教师应该把
课前阅读看作是语文教学过程中的重要组成部分，要求学生大体了解
课文中的事件或思想的基本进程; 要求基本上了解词、 句的意义; 要
求能够正确地朗读课文。"
526,1113,课后阅读课文也十分重要。
527,1113,没有课后复读，课文的思想和语言。
528,1114,就很难在学生的头脑里生根，就很难形成技巧。
529,1114,"纯熟地掌握一篇课
文，并不是只要有了课前读和课内分析就能达到。"
530,1114,"至于要求背诵的课
文，课后的复读就尤其不可缺少了。"
531,1118,"课内阅读除朗读、 默读等方式外，分析性阅读对帮助学生加深理
解课文的思想和语言，也有很大作用。"
532,1118,"这是一种适用某些内容比较复
杂和语言比较艰深的课文的阅读方式它和朗读、 默读等不同，它要指
导学生一边阅读课文。"
533,1118,"一边对课文中的环境、 人物形象、 事件进程、
思想脉络和某些词语 (有时可以着重在词语方面) 进行分析，帮助学
生进一步地理解课文的内容和语言。"
534,1118,"当然，它只对课文的思想和语言
作重点的引导性的解说，不作全面的细致的剖析。"
535,1126,只有学生有了阅读的基础，对课文的分析才会产生效果。
536,1127,"课文分析的任务，一方面在于使学生了解课文的思想内容，受到
思想教育，一方面也在于使学生了解语言形式，受到语言教育。"
537,1127,"经过
课文分析，学生既应该领会到课文的思想，并受到思想教育，也应该
了解到某种思想是借助什么样的语言表现的，以及这种语言对表现这
种思想起了怎样的作用。"
538,1127,"课文分析的过程，既应该是思想的分析过
程，也应该是语言的分析过程。"
539,1127,"学生理解课文的语言，是理解课文思
想的必要条件，也是培养、 发展学生语言能力的必要条件。"
540,1127,"教师应该
把语言的分析和思想的分析紧密地结合起来。"
541,1127,应该防止两种偏向脱离
542,1135,思想分析语言的倾向，和脱离语言分析思想的倾向。
543,1137,"曾有教师只领导学生分析课文的思想内容是什么，而不大管表达
思想的语言是什么。"
544,1137,"提出的问题，往往只限于关于人物形象的，或关
于故事情节的，学生的思考对象也就只局限于人物形象的，或关于故
事情节的，至于作者是用什么样的语言表达思想的，语言的作用是什
么，因为不引导他们往这方面思考，他们自然也就无从了解。"
545,1142,"教师为什么不提出有关了解语言的问题，原因当然不止一点，比
如可能是由于教师没有充分意识到语言的意义和作用，也可能是由于
语文教学经验少，还不大了解究竟应该怎样进行语言教学但也有的是
由于在认识上，把语言的分析和思想的分析对立了起来，以为在分析
思想的同时又分析语言，那就免不了要破坏思想的连贯性，就会冲淡
情感。"
546,1142,"其实，在思想分析同时作语言分析，如果这种分析不脱离课文
的具体思想，如果不是过多地分析个别的词语，那么这种语言分析，
就不仅不会破坏思想的连贯性和冲淡情感，相反的，倒会使思想分析
更为深刻，情感更为坚实; 学生对语言的理解能力越增强，对思想内
容的理解能力也就越增强。"
547,1142,"两者结合得好，就会既增强学生对语言的
理解，也会增强对思想内容的理解。"
548,1154,"在同一过程中，既要分析思想又要分析语言，会不会割裂课文的
完整性? 这是历来就存在的一个疑问。"
549,1154,我们说不会。
550,1154,"因为分析得完不
完整，关键在于分析的方法，既不在于课文本身，也不在于教学过
程。"
551,1154,"比如说，如果只是冷漠地无联系地分析课文，那么即使分析的只
是思想内容，也不会是完整的。"
552,1154,"我们常见的近于抽象地概括若干大问
题的分析方法，只是貌似完整，其实谈不上完整。"
553,1154,"整体是对个别或局
部而言，没有局部的个别的具体分析，又哪里有所谓完整!"
554,1161,课文分析的要求，是思想教育和语言教学统一在一个过程中。
555,1161,"要
实现两者的统一，就应该正确理解和运用重点分析和全面分析相结
合，具体分析和抽象概括相结合的两个原则。"
556,1166,重点分析和全面分析应该得到统一。
557,1166,"只作重点分析或只作全面分
析，都是把两者对立了起来。"
558,1170,"重点必须突出，没有重点分析，便不能揭示课文的思想实质，而
且重点分析不透也就等于全文分析不透。"
559,1170,"但是如何只有重点分析，而
这种分析又只是思想方面的，却无切实的语言分析，只有 “这一部分
表明了什么思想?” “这一主要情节中的矛盾说明了什么?” “这展示
了人物的什么性格?” 一类的分析，而没有 “这一句话或这一个词是
什么意思?” 一类的分析，那么，且不说这一句话、 这一个词的意思，
学生没有了解，就是重点分析的部分也会由于没有全面分析的配合而
流于空谈。"
560,1170,"因此，重点分析的同时，必须照顾到全面，包括细节在
内。"
561,1170,"比如 《智取生辰纲》 中对天气酷热的细节描写，《景阳冈》 中对
武松打虎后筋疲力尽的细节描写，不分析它们虽然并不影响作品思想
的连贯性，但由于它们在显示人物所处环境和故事情节的真实，忽略
过去就会减少思想的说服力和语言的表现力。"
562,1170,"当然这不是说，课文分
析可以巨细无遗，可以平均使用力量，更不是说不要把杨志和军健、
老都管间的矛盾和武松打虎等重点突出来。"
563,1185,具体分析和抽象概括，在课文分析中也应该得到统一。
564,1186,抽象概括是需要的。
565,1186,"没有抽象概括，学生便不会领会课文的思想
实质。"
566,1186,但是抽象概括应该奠基在具体分析的基础上。
567,1186,"有些复杂的长句
子和结构特殊的句子，不作语法分析，学生就不懂它的意思; 有些思
想深刻的句子，不具体分析学生就体会不透; 有些词语，不具体分
析，学生也领悟不到它的思想力量和艺术力量，特别是它的特殊色彩
和意境。"
568,1186,"在我们的语文教学中，抽象概括多，具体分析少的情况是常
常能够见到的。"
569,1186,"“这说明了什么?” “那又说明了什么?” 式的分析多，
“这是什么?” “这是怎样的?” 式的分析少。"
570,1186,"结果是，在学生具体的
感性知识不足的情况下，就跳上抽象的理性认识的阶段，把学生引向
离开具体语言环境的空虚境地。"
571,1186,于是，脱离课文的现象也就是必然的
572,1196,了。
573,1196,"这样的分析，实质上是否认了人类认识事物必须经过感性上升到
理性的联结过程。"
574,1196,"至于应该具体到什么程度，那要因课文而不同，不
能一概而论。"
575,1201,"上述重点分析和全面分析、 具体分析和抽象概括是否能够得到统
一，又集中体现在如何提出问题和如何解答问题上面。"
576,1201,"所谓提出和解
答问题，就是提出和解答作者在文章中所提出的问题。"
577,1201,"提出和解答学
生的理解能力和教材内容以及形式之间的矛盾，不善于提出和解答问
题，就是不善于提出矛盾和解决矛盾。"
578,1201,"所以如何提出和解答问题，实
在是课文分析质量的关键所在。"
579,1208,提出问题，无论对思想教育或语言教学都具有先决作用。
580,1208,"提出的
问题应既有重点，又包括课文的各个方面; 既有感性的具体问题，又
有抽象的理性问题。"
581,1208,"教师是否能够这样地提出问题，既取决于理解教
材的广度和深度，也取决于是否考虑到思想教育和语言教学的双方面
教学任务。"
582,1208,"没有全面而又深刻地理解教材，就不可能提出既全面而又
重点突出的问题，没有同时考虑到思想教育和语言教学双方面的要
求，就不可能提出既能实现思想教育又能实现语言教学的问题。"
583,1215,"解答问题也和提出问题一样，依靠教师对教材和教学任务的全面
理解。"
584,1215,"问题既然是从课文中提出的，和从教学要求出发的，那么，解
答也就必须以课文的具体思想和语言为依据，不能也不应该脱离开课
文的思想和语言。"
585,1215,"但是教师所作出的结论，却不要一下子就说出来，
而是要引导学生积极思考，使学生从自己的理解中获得并肯定这些
结论。"
586,1222,"在课文分析过程中，是可能和应该进行正音、 正字和词汇的、 句
法的、 修辞的分析的 (当然，某一具体课文的语言分析，是否可能和
应该包括这些方面，是要以课文的语言特点和学生的语言基础为转移
的)，其中词汇教学又应该是语言教学的基本内容，因为词的分析最
容易和课文的思想紧密地结合起来，而学生的词的积累也主要靠课文"
587,1227,分析的过程实现。
588,1227,"语言丰富的课文会给学生提供大量有用的词，比如
通过 《故乡》 的分析除了前边引用的一些词外，学生可以学习到这样
一些名词秕谷、 稻鸡、 角鸡、 蓝背、 鬼见怕、 观音手、 獾猪、 刺猬、
猹、 胡叉、 竹匾、 狗气杀、 寓所等等。"
589,1227,"教师应该引导学生思考并掌握
的形容词有隐晦、 苍黄、 萧索、 神异、 深黛、 絮絮、 愤愤、 痴痴、 潺
潺、 鄙夷、 茫远、 惘然、 松松爽爽，等等。"
590,1227,"《故乡》 也提供了大量的
需要学生理解和掌握的动词，苏生、 冒、 横着、 闪出、 缚在、 罩在、
贴在、 回旋、 涌出、 现出、 隔绝，等等。"
591,1227,"在课文的具体语言环境中分
析这些词，学生容易理解，并将逐渐成为自己语言中的词汇。"
592,1237,词汇教学应该是语言教学的基本内容。
593,1237,"教师应该根据每个词在课
文中的地位和作用，以及学生的情况，分清主次，选择分析那些富有
思想性、 艺术性的词，和学生不大了解意义的词。"
594,1241,"在课文分析过程中，为了加深学生对课文的理解，为了加强语言
教学，为了把对课文语言的分析同学生的说写能力联系起来，应引导
学生通过口头和书面的形式尽量再现课文语言，使课文的语言成为学
生领会课文思想的根据，和丰富学生语言的源泉。"
595,1241,"当然，所谓再现课
文的语言，并不应是课文语言的单纯重复，应是有选择地再现。"
596,1241,"为了
达到再现课文语言的目的，应向学生提出具体的要求，要限定学生重
现课文语言的基本范围，限定必须重现的某些词语。"
597,1241,"而当学生合乎要
求地再现课文的语言时，课文的语言就会以它的典范性给学生语言以
良好影响，以至逐渐融汇在学生自己的语言中。"
598,1241,"在我们目前的语文教
学中，虽已较普遍地注意了再现课文语言，但要求往往不具体不严
格，效果还不够显著。"
599,1241,"再现课文语言应体现在学生的口语和书面语两
方面，使学生的口语和书面语同时得以发展，并起相辅相成的作用。"
600,1253,"在课文分析过程中，教师的语言有重大作用，教师应对自己的语
言提出严格要求。"
601,1253,"教师的语言不仅应帮助学生理解课文的思想，还应
该为学生提供运用语言的范例。"
602,1253,它应该与课文的语言相配合相适应。
603,1257,"有些教师的语言远不能适应课文的语言，不能给课文语言以解释、 补
充和扩大，甚至由于使用了无力的语言，反而降低了课文语言的思想
和艺术作用。"
604,1261,"在课文分析过程中，教师的语言应该力求理智因素和情感因素的
统一，应该力求感染作用和说服作用的统一。"
605,1261,"应该使学生在感变的同
时得到理解，在理解的同时得到感受。"
606,1261,"理性过多，会削弱感染力量情
感过多，会削弱学生的思考。"
607,1261,"教师必须把自己的心灵灌输到自己的语
言中去，必须在语言上付出心血和劳力，避免运用苍白无力的语言，
避免运用空虚无物的语言。"
608,1268,"三
结束阶段是课文分析后的比较集中的概括与巩固阶段。"
609,1268,"在这一阶
段要进行较多的综合和较高的抽象化工作。"
610,1268,"内容通常包括课文分析的
各个方面。"
611,1268,"但在实际教学中，有教师往往偏重于综合和概括知识的一
面，忽略了巩固知识和培养技能的一面 (虽然概括知识的本身也有巩
固知识的作用)。"
612,1268,"我们应该把帮助学生巩固已获得的知识和培养技能，
看作结束阶段必须实现的任务，特别是应该注意语言技能的培养。"
613,1275,"实现训练学生语言技能的任务，不仅要求经常布置默读、 朗读、
背诵，解释词句、 口头叙述和各种书面作业等，也应评定学生在评价
人物、 总括结构、 确定主题中的语言质量，借以使学生不仅注意思考
问题的思想内容，同时也注意思考表达内容的语言。"
614,1280,在结束阶段，应根据作家或课文的特征，对语言进行总的评价。
615,1281,"评价应该是概括的，使学生得以掌握主要特征，评价也该是具体的，
使学生获得切实的感受。"
616,1284,"在语言教学方面，对照和比较的方法有着巨大作用，可以说，它
是一种理性的科学的方法，是一种生动的有说服力的语言研究方法。"
617,1287,"这种方法既可以培养学生认识语言特征能力，又有助于培养缜密思考
能力。"
618,1287,"在分析阶段运用的主要是分析法、 综合法，只有在结束阶段才
更有运用比较法的可能性。"
619,1287,"比如可以比较不同作家的语言，比较不同
时代的课文的语言，比较作品中叙述人和人物的语言，也可以比较不
同体裁的课文的语言。"
620,1287,"就语言的内容说，可以作词汇的比较，可以作
句式的比较，可以作句子结构的比较，也可以作若干句子的比较等。"
621,1293,比较得越鲜明，对作家或课文语言的了解也就越鲜明。
622,1295,"比如教学鲁迅的 《为了忘却的记念》，就可以把初稿的 “眼看朋
辈成新鬼，怒向刀尖觅小诗” 中的 “眼” “尖” 和课本中的 “忍看朋
辈成新鬼，怒向刀丛觅小诗” 中的 “忍” “丛” 提出来加以比较，使
学生觉察出 “忍” “丛” 两个字所表明的思想和艺术的力量，使学生
具体领会伟大作家在选择词汇上的认真精神。"
623,1301,教学不同时代的课文的语言时，有可能更多地利用比较的方法。
624,1302,"为了使学生更具体地了解课文的语言特征，和使学生获得汉语言的发
展、 变化知识，可以把这一课文和不同时代的另一课文的语言相比
较，这不仅会加深对已经分析过和现在分析的课文语言的了解，也会
为了解后来的课文语言开辟道路，并有助于培养学生观察语言现象的
历史观点和辩证观点。"
625,1308,"在汉语的发展史上，文言词语和现代汉语的差异比较突出，注意
引导学生了解它们间的异同，是必要的。"
626,1308,"在这方面，课本中的文言课
文和白话注解，特别是同时以文白对照的两种语言形式出现的课文，
为这种比较提供了现成的材料。"
627,1313,"在结束阶段，如果可能，把同一课文的定稿和初稿加以比较，对
提高学生鉴别、 运用语言的能力有特殊作用。"
628,1313,"比如可以拿 《景阳冈》
《把一切献给党》 等课文，和各该课文的另一种版本加以比较，就会
产生提高学生鉴别、 运用语言能力的作用。"
629,1313,"几乎用不着再加解释，学
生就会清楚地看出，由于今本语言上的增补和加工，较之旧本就更加"
630,1318,"鲜明地描写了武松和大虫搏斗时的情景，和更加确切地刻画了武松的
形象。"
631,1322,"在结束阶段还可以由教师就课文中的部分语言，进行示范性分
析，给学生提供理解课文语言的范例。"
632,1322,"比如教师示范分析 《故乡》 的
开头两小段，从 “我冒了严寒” 到 “我的心禁不住悲凉起来了”。"
